,Source node name,Target node name,Source node type,Target node type,Relationship type
190,ABCA3,C0020192,gene,disease,risk_gene
191,ABCA3,C0020542,gene,disease,risk_gene
192,ABCA3,C0034069,gene,disease,risk_gene
193,ABCA3,C0035220,gene,disease,risk_gene
194,ABCA3,C0085786,gene,disease,risk_gene
195,ABCA3,C0852283,gene,disease,risk_gene
196,ABCA3,C1800706,gene,disease,risk_gene
197,ABCA3,C1861829,gene,disease,risk_gene
198,ABCA3,C1970456,gene,disease,risk_gene
199,ABCA3,C4721507,gene,disease,risk_gene
200,ABCB7,C0002896,gene,disease,risk_gene
201,ABCB7,C0004134,gene,disease,risk_gene
202,ABCB7,C0240991,gene,disease,risk_gene
203,ABCB7,C0278161,gene,disease,risk_gene
204,ABCB7,C0427190,gene,disease,risk_gene
205,ABCB7,C0520966,gene,disease,risk_gene
206,ABCB7,C0750937,gene,disease,risk_gene
207,ABCB7,C0750940,gene,disease,risk_gene
208,ABCB7,C1845028,gene,disease,risk_gene
209,ABCF1,C0020517,gene,disease,risk_gene
210,ABCF1,C0032285,gene,disease,risk_gene
211,ABCF1,C0032300,gene,disease,risk_gene
212,ABCF1,C0235874,gene,disease,risk_gene
213,ABCF1,C0887898,gene,disease,risk_gene
214,ABCF1,C1527304,gene,disease,risk_gene
215,ABCF1,C3714636,gene,disease,risk_gene
216,ABCA4,C0006142,gene,disease,risk_gene
217,ABCA4,C0008924,gene,disease,risk_gene
218,ABCA4,C0009402,gene,disease,risk_gene
219,ABCA4,C0009404,gene,disease,risk_gene
220,ABCA4,C0015397,gene,disease,risk_gene
221,ABCA4,C0035334,gene,disease,risk_gene
222,ABCA4,C0242383,gene,disease,risk_gene
223,ABCA4,C0271093,gene,disease,risk_gene
224,ABCA4,C0339539,gene,disease,risk_gene
225,ABCA4,C1855465,gene,disease,risk_gene
226,ABCA4,C1858080,gene,disease,risk_gene
227,ABCA4,C1858806,gene,disease,risk_gene
228,ABCA4,C1866422,gene,disease,risk_gene
229,ABCA4,C3489532,gene,disease,risk_gene
230,ABCA4,C3495438,gene,disease,risk_gene
231,ABCA4,C4282180,gene,disease,risk_gene
232,ABL1,C0001418,gene,disease,risk_gene
233,ABL1,C0003706,gene,disease,risk_gene
234,ABL1,C0005941,gene,disease,risk_gene
235,ABL1,C0006142,gene,disease,risk_gene
236,ABL1,C0006413,gene,disease,risk_gene
237,ABL1,C0014859,gene,disease,risk_gene
238,ABL1,C0015544,gene,disease,risk_gene
239,ABL1,C0018798,gene,disease,risk_gene
240,ABL1,C0023452,gene,disease,risk_gene
241,ABL1,C0023453,gene,disease,risk_gene
242,ABL1,C0023473,gene,disease,risk_gene
243,ABL1,C0023903,gene,disease,risk_gene
244,ABL1,C0025202,gene,disease,risk_gene
245,ABL1,C0027659,gene,disease,risk_gene
246,ABL1,C0032927,gene,disease,risk_gene
247,ABL1,C0039075,gene,disease,risk_gene
248,ABL1,C0151491,gene,disease,risk_gene
249,ABL1,C0205641,gene,disease,risk_gene
250,ABL1,C0205642,gene,disease,risk_gene
251,ABL1,C0205643,gene,disease,risk_gene
252,ABL1,C0205644,gene,disease,risk_gene
253,ABL1,C0205645,gene,disease,risk_gene
254,ABL1,C0265610,gene,disease,risk_gene
255,ABL1,C0282313,gene,disease,risk_gene
256,ABL1,C0345904,gene,disease,risk_gene
258,ABL1,C0546837,gene,disease,risk_gene
259,ABL1,C0596263,gene,disease,risk_gene
260,ABL1,C0678222,gene,disease,risk_gene
261,ABL1,C1257931,gene,disease,risk_gene
262,ABL1,C1292769,gene,disease,risk_gene
263,ABL1,C1458155,gene,disease,risk_gene
264,ABL1,C1961099,gene,disease,risk_gene
265,ABL1,C1961102,gene,disease,risk_gene
266,ABL1,C4539857,gene,disease,risk_gene
267,ABL1,C4551485,gene,disease,risk_gene
268,ABL1,C4704874,gene,disease,risk_gene
269,AOC1,C0018800,gene,disease,risk_gene
270,AOC1,C0020538,gene,disease,risk_gene
271,AOC1,C1383860,gene,disease,risk_gene
272,ABO,C0001973,gene,disease,risk_gene
273,ABO,C0010054,gene,disease,risk_gene
274,ABO,C0010474,gene,disease,risk_gene
275,ABO,C0013295,gene,disease,risk_gene
276,ABO,C0030297,gene,disease,risk_gene
277,ABO,C0033578,gene,disease,risk_gene
278,ABO,C0038454,gene,disease,risk_gene
279,ABO,C0085762,gene,disease,risk_gene
280,ABO,C0346647,gene,disease,risk_gene
281,ABO,C0376358,gene,disease,risk_gene
282,ABO,C0525045,gene,disease,risk_gene
283,ABO,C0751956,gene,disease,risk_gene
284,ABO,C1956346,gene,disease,risk_gene
285,ABO,C4317009,gene,disease,risk_gene
286,ABO,C4505353,gene,disease,risk_gene
287,ABO,C4721610,gene,disease,risk_gene
288,ABR,C0033578,gene,disease,risk_gene
289,ABR,C0376358,gene,disease,risk_gene
290,ACACA,C0009402,gene,disease,risk_gene
291,ACACA,C0018801,gene,disease,risk_gene
292,ACACA,C0018802,gene,disease,risk_gene
293,ACACA,C0023212,gene,disease,risk_gene
294,ACACA,C0235527,gene,disease,risk_gene
296,ACACA,C1959583,gene,disease,risk_gene
297,ACACA,C1961112,gene,disease,risk_gene
298,ACACA,C2239176,gene,disease,risk_gene
299,ACACB,C0021655,gene,disease,risk_gene
300,ACACB,C0028754,gene,disease,risk_gene
301,ACACB,C0920563,gene,disease,risk_gene
303,ACADL,C0220711,gene,disease,risk_gene
304,ACADM,C0006142,gene,disease,risk_gene
305,ACADM,C0028754,gene,disease,risk_gene
307,ACADM,C0038644,gene,disease,risk_gene
308,ACADM,C0043094,gene,disease,risk_gene
309,ACADM,C0085605,gene,disease,risk_gene
310,ACADM,C0220710,gene,disease,risk_gene
311,ACADM,C0520459,gene,disease,risk_gene
312,ACADS,C0005586,gene,disease,risk_gene
313,ACADS,C0018801,gene,disease,risk_gene
314,ACADS,C0018802,gene,disease,risk_gene
317,ACADS,C0342783,gene,disease,risk_gene
320,ACADSB,C0004352,gene,disease,risk_gene
321,ACADSB,C1864912,gene,disease,risk_gene
322,ACADVL,C0003129,gene,disease,risk_gene
323,ACADVL,C0003130,gene,disease,risk_gene
324,ACADVL,C0242184,gene,disease,risk_gene
325,ACADVL,C0270984,gene,disease,risk_gene
326,ACADVL,C0369183,gene,disease,risk_gene
327,ACADVL,C0700292,gene,disease,risk_gene
328,ACADVL,C1261502,gene,disease,risk_gene
329,ACADVL,C3887523,gene,disease,risk_gene
330,ACAT1,C0022333,gene,disease,risk_gene
331,ACAT1,C0022661,gene,disease,risk_gene
332,ACAT1,C0023893,gene,disease,risk_gene
333,ACAT1,C0036572,gene,disease,risk_gene
334,ACAT1,C0149958,gene,disease,risk_gene
335,ACAT1,C0234533,gene,disease,risk_gene
336,ACAT1,C0234535,gene,disease,risk_gene
337,ACAT1,C0270824,gene,disease,risk_gene
338,ACAT1,C0270844,gene,disease,risk_gene
339,ACAT1,C0270846,gene,disease,risk_gene
340,ACAT1,C0422850,gene,disease,risk_gene
341,ACAT1,C0422852,gene,disease,risk_gene
342,ACAT1,C0422853,gene,disease,risk_gene
343,ACAT1,C0422854,gene,disease,risk_gene
344,ACAT1,C0422855,gene,disease,risk_gene
345,ACAT1,C0494475,gene,disease,risk_gene
346,ACAT1,C0751056,gene,disease,risk_gene
347,ACAT1,C0751110,gene,disease,risk_gene
348,ACAT1,C0751123,gene,disease,risk_gene
349,ACAT1,C0751494,gene,disease,risk_gene
350,ACAT1,C0751495,gene,disease,risk_gene
351,ACAT1,C0751496,gene,disease,risk_gene
352,ACAT1,C1536500,gene,disease,risk_gene
353,ACAT1,C3495874,gene,disease,risk_gene
354,ACAT1,C4048158,gene,disease,risk_gene
355,ACAT1,C4316903,gene,disease,risk_gene
356,ACAT1,C4317109,gene,disease,risk_gene
357,ACAT1,C4317123,gene,disease,risk_gene
358,ACAT1,C4505436,gene,disease,risk_gene
360,ASIC2,C0004352,gene,disease,risk_gene
361,ASIC2,C0021368,gene,disease,risk_gene
362,ASIC1,C0007786,gene,disease,risk_gene
363,ASIC1,C0021368,gene,disease,risk_gene
364,ASIC1,C0917798,gene,disease,risk_gene
365,ACHE,C0002395,gene,disease,risk_gene
366,ACHE,C0002726,gene,disease,risk_gene
368,ACHE,C0005684,gene,disease,risk_gene
369,ACHE,C0005695,gene,disease,risk_gene
370,ACHE,C0006142,gene,disease,risk_gene
371,ACHE,C0007134,gene,disease,risk_gene
372,ACHE,C0011265,gene,disease,risk_gene
373,ACHE,C0013221,gene,disease,risk_gene
374,ACHE,C0018273,gene,disease,risk_gene
375,ACHE,C0022333,gene,disease,risk_gene
376,ACHE,C0023186,gene,disease,risk_gene
377,ACHE,C0023893,gene,disease,risk_gene
378,ACHE,C0025261,gene,disease,risk_gene
379,ACHE,C0026650,gene,disease,risk_gene
380,ACHE,C0026850,gene,disease,risk_gene
381,ACHE,C0027765,gene,disease,risk_gene
382,ACHE,C0028754,gene,disease,risk_gene
383,ACHE,C0033578,gene,disease,risk_gene
384,ACHE,C0036341,gene,disease,risk_gene
385,ACHE,C0036572,gene,disease,risk_gene
386,ACHE,C0040822,gene,disease,risk_gene
387,ACHE,C0040827,gene,disease,risk_gene
388,ACHE,C0041755,gene,disease,risk_gene
389,ACHE,C0149840,gene,disease,risk_gene
390,ACHE,C0149958,gene,disease,risk_gene
391,ACHE,C0233794,gene,disease,risk_gene
392,ACHE,C0234370,gene,disease,risk_gene
393,ACHE,C0234371,gene,disease,risk_gene
394,ACHE,C0234372,gene,disease,risk_gene
395,ACHE,C0234373,gene,disease,risk_gene
396,ACHE,C0234374,gene,disease,risk_gene
397,ACHE,C0234375,gene,disease,risk_gene
398,ACHE,C0234376,gene,disease,risk_gene
399,ACHE,C0234377,gene,disease,risk_gene
400,ACHE,C0234378,gene,disease,risk_gene
401,ACHE,C0234379,gene,disease,risk_gene
402,ACHE,C0234381,gene,disease,risk_gene
403,ACHE,C0234533,gene,disease,risk_gene
404,ACHE,C0234535,gene,disease,risk_gene
405,ACHE,C0235078,gene,disease,risk_gene
406,ACHE,C0235081,gene,disease,risk_gene
407,ACHE,C0235082,gene,disease,risk_gene
408,ACHE,C0235083,gene,disease,risk_gene
409,ACHE,C0235843,gene,disease,risk_gene
410,ACHE,C0236733,gene,disease,risk_gene
411,ACHE,C0236804,gene,disease,risk_gene
412,ACHE,C0236807,gene,disease,risk_gene
413,ACHE,C0266487,gene,disease,risk_gene
414,ACHE,C0270824,gene,disease,risk_gene
415,ACHE,C0270844,gene,disease,risk_gene
416,ACHE,C0270846,gene,disease,risk_gene
417,ACHE,C0276496,gene,disease,risk_gene
418,ACHE,C0279702,gene,disease,risk_gene
419,ACHE,C0353676,gene,disease,risk_gene
420,ACHE,C0376358,gene,disease,risk_gene
421,ACHE,C0422850,gene,disease,risk_gene
422,ACHE,C0422852,gene,disease,risk_gene
423,ACHE,C0422853,gene,disease,risk_gene
424,ACHE,C0422854,gene,disease,risk_gene
425,ACHE,C0422855,gene,disease,risk_gene
426,ACHE,C0494463,gene,disease,risk_gene
427,ACHE,C0494475,gene,disease,risk_gene
428,ACHE,C0546126,gene,disease,risk_gene
429,ACHE,C0678222,gene,disease,risk_gene
430,ACHE,C0700359,gene,disease,risk_gene
431,ACHE,C0750900,gene,disease,risk_gene
432,ACHE,C0750901,gene,disease,risk_gene
433,ACHE,C0751056,gene,disease,risk_gene
434,ACHE,C0751110,gene,disease,risk_gene
435,ACHE,C0751123,gene,disease,risk_gene
436,ACHE,C0751262,gene,disease,risk_gene
437,ACHE,C0751263,gene,disease,risk_gene
438,ACHE,C0751265,gene,disease,risk_gene
439,ACHE,C0751292,gene,disease,risk_gene
440,ACHE,C0751293,gene,disease,risk_gene
441,ACHE,C0751294,gene,disease,risk_gene
442,ACHE,C0751295,gene,disease,risk_gene
443,ACHE,C0751494,gene,disease,risk_gene
444,ACHE,C0751495,gene,disease,risk_gene
445,ACHE,C0751496,gene,disease,risk_gene
446,ACHE,C0751564,gene,disease,risk_gene
447,ACHE,C0751565,gene,disease,risk_gene
448,ACHE,C1257931,gene,disease,risk_gene
449,ACHE,C1266042,gene,disease,risk_gene
450,ACHE,C1266043,gene,disease,risk_gene
451,ACHE,C1266044,gene,disease,risk_gene
452,ACHE,C1306837,gene,disease,risk_gene
453,ACHE,C1330966,gene,disease,risk_gene
454,ACHE,C1458155,gene,disease,risk_gene
455,ACHE,C1527384,gene,disease,risk_gene
456,ACHE,C3494247,gene,disease,risk_gene
457,ACHE,C3494248,gene,disease,risk_gene
458,ACHE,C3495874,gene,disease,risk_gene
459,ACHE,C4048158,gene,disease,risk_gene
460,ACHE,C4316903,gene,disease,risk_gene
461,ACHE,C4317109,gene,disease,risk_gene
462,ACHE,C4317123,gene,disease,risk_gene
463,ACHE,C4505436,gene,disease,risk_gene
464,ACHE,C4704874,gene,disease,risk_gene
465,ACLY,C0018801,gene,disease,risk_gene
466,ACLY,C0018802,gene,disease,risk_gene
467,ACLY,C0023212,gene,disease,risk_gene
468,ACLY,C0028754,gene,disease,risk_gene
469,ACLY,C0235527,gene,disease,risk_gene
470,ACLY,C1959583,gene,disease,risk_gene
471,ACLY,C1961112,gene,disease,risk_gene
472,ACLY,C2239176,gene,disease,risk_gene
473,ACO1,C0027626,gene,disease,risk_gene
474,ACO1,C0029408,gene,disease,risk_gene
475,ACO1,C0086743,gene,disease,risk_gene
477,ACO2,C0035222,gene,disease,risk_gene
478,ACO2,C2239176,gene,disease,risk_gene
479,ACO2,C3281192,gene,disease,risk_gene
480,ACO2,C4225384,gene,disease,risk_gene
481,ACOX1,C0002152,gene,disease,risk_gene
482,ACOX1,C0011853,gene,disease,risk_gene
483,ACOX1,C0038433,gene,disease,risk_gene
484,ACOX1,C1849678,gene,disease,risk_gene
485,ACOX1,C2239176,gene,disease,risk_gene
486,ACP1,C0036341,gene,disease,risk_gene
487,ACP1,C0041696,gene,disease,risk_gene
488,ACP1,C1269683,gene,disease,risk_gene
490,ACP5,C0020503,gene,disease,risk_gene
491,ACP5,C0023893,gene,disease,risk_gene
492,ACP5,C0028754,gene,disease,risk_gene
493,ACP5,C0432222,gene,disease,risk_gene
495,ACP5,C1842763,gene,disease,risk_gene
496,ACP5,C3860213,gene,disease,risk_gene
497,ACP3,C0087031,gene,disease,risk_gene
498,ACP3,C3495559,gene,disease,risk_gene
499,ACP3,C3714758,gene,disease,risk_gene
500,ACP3,C4552091,gene,disease,risk_gene
501,ACP3,C4704862,gene,disease,risk_gene
502,ACTA1,C0007193,gene,disease,risk_gene
503,ACTA1,C0007194,gene,disease,risk_gene
504,ACTA1,C0149721,gene,disease,risk_gene
506,ACTA1,C0206157,gene,disease,risk_gene
507,ACTA1,C0270969,gene,disease,risk_gene
508,ACTA1,C0410180,gene,disease,risk_gene
512,ACTA1,C0546264,gene,disease,risk_gene
514,ACTA1,C1834339,gene,disease,risk_gene
516,ACTA1,C2750537,gene,disease,risk_gene
519,ACTA1,C3711389,gene,disease,risk_gene
520,ACTA1,C4225181,gene,disease,risk_gene
522,ACTA2,C0005398,gene,disease,risk_gene
523,ACTA2,C0006142,gene,disease,risk_gene
524,ACTA2,C0007102,gene,disease,risk_gene
525,ACTA2,C0009375,gene,disease,risk_gene
526,ACTA2,C0014175,gene,disease,risk_gene
527,ACTA2,C0015934,gene,disease,risk_gene
528,ACTA2,C0017668,gene,disease,risk_gene
529,ACTA2,C0019189,gene,disease,risk_gene
530,ACTA2,C0022116,gene,disease,risk_gene
531,ACTA2,C0022658,gene,disease,risk_gene
532,ACTA2,C0023890,gene,disease,risk_gene
533,ACTA2,C0023893,gene,disease,risk_gene
534,ACTA2,C0023895,gene,disease,risk_gene
535,ACTA2,C0026654,gene,disease,risk_gene
536,ACTA2,C0027051,gene,disease,risk_gene
538,ACTA2,C0034069,gene,disease,risk_gene
539,ACTA2,C0036421,gene,disease,risk_gene
540,ACTA2,C0041956,gene,disease,risk_gene
541,ACTA2,C0086432,gene,disease,risk_gene
542,ACTA2,C0086565,gene,disease,risk_gene
543,ACTA2,C0149519,gene,disease,risk_gene
544,ACTA2,C0162872,gene,disease,risk_gene
545,ACTA2,C0239946,gene,disease,risk_gene
546,ACTA2,C0269102,gene,disease,risk_gene
547,ACTA2,C0340630,gene,disease,risk_gene
548,ACTA2,C0520463,gene,disease,risk_gene
549,ACTA2,C0524611,gene,disease,risk_gene
550,ACTA2,C0678222,gene,disease,risk_gene
551,ACTA2,C1257931,gene,disease,risk_gene
552,ACTA2,C1458155,gene,disease,risk_gene
553,ACTA2,C1619692,gene,disease,risk_gene
554,ACTA2,C1876165,gene,disease,risk_gene
555,ACTA2,C2673186,gene,disease,risk_gene
556,ACTA2,C2931384,gene,disease,risk_gene
557,ACTA2,C3151201,gene,disease,risk_gene
558,ACTA2,C3279690,gene,disease,risk_gene
559,ACTA2,C4704874,gene,disease,risk_gene
560,ACTA2,C4707243,gene,disease,risk_gene
562,ACTB,C0003129,gene,disease,risk_gene
563,ACTB,C0003130,gene,disease,risk_gene
564,ACTB,C0005586,gene,disease,risk_gene
565,ACTB,C0005818,gene,disease,risk_gene
566,ACTB,C0007097,gene,disease,risk_gene
567,ACTB,C0009363,gene,disease,risk_gene
568,ACTB,C0013393,gene,disease,risk_gene
569,ACTB,C0013421,gene,disease,risk_gene
570,ACTB,C0014859,gene,disease,risk_gene
571,ACTB,C0018784,gene,disease,risk_gene
572,ACTB,C0019193,gene,disease,risk_gene
573,ACTB,C0024121,gene,disease,risk_gene
574,ACTB,C0024667,gene,disease,risk_gene
575,ACTB,C0024668,gene,disease,risk_gene
576,ACTB,C0027626,gene,disease,risk_gene
577,ACTB,C0029408,gene,disease,risk_gene
578,ACTB,C0036341,gene,disease,risk_gene
579,ACTB,C0086743,gene,disease,risk_gene
580,ACTB,C0151744,gene,disease,risk_gene
581,ACTB,C0205696,gene,disease,risk_gene
582,ACTB,C0205697,gene,disease,risk_gene
583,ACTB,C0205698,gene,disease,risk_gene
584,ACTB,C0205699,gene,disease,risk_gene
585,ACTB,C0242184,gene,disease,risk_gene
586,ACTB,C0242379,gene,disease,risk_gene
587,ACTB,C0263579,gene,disease,risk_gene
588,ACTB,C0265541,gene,disease,risk_gene
589,ACTB,C0272183,gene,disease,risk_gene
590,ACTB,C0376634,gene,disease,risk_gene
591,ACTB,C0393588,gene,disease,risk_gene
592,ACTB,C0393610,gene,disease,risk_gene
593,ACTB,C0497552,gene,disease,risk_gene
594,ACTB,C0546837,gene,disease,risk_gene
595,ACTB,C0700292,gene,disease,risk_gene
596,ACTB,C0751093,gene,disease,risk_gene
597,ACTB,C0860207,gene,disease,risk_gene
598,ACTB,C1257925,gene,disease,risk_gene
599,ACTB,C1262760,gene,disease,risk_gene
